Time,Defect,Avg_Energy,eta_dot_field,eta,b_field,Distance,Coerr
200.0,10.0,-3.1220415522887883,"[[[0.004164585134493066, -0.033373619588855964], [-0.017703699545996574, 0.011268441794944834]], [[0.0024259937490996985, -0.015109035358917606], [-0.005805472804035783, 0.008800533152863914]]]","[[0.5555555555555556, -0.5555555555555556], [0.10204081632653061, -0.10204081632653061]]","[[0.07516521618456591, 0.0027050144785487527], [0.08728482772229736, 0.0519014978322951]]",,
220.0,10.0,-3.122762088993235,"[[[0.004164585134493066, -0.033373619588855964], [-0.017703699545996574, 0.011268441794944834]], [[0.0024259937490996985, -0.015109035358917606], [-0.005805472804035783, 0.008800533152863914]]]","[[0.5555555555555556, -0.5555555555555556], [0.10204081632653061, -0.10204081632653061]]","[[0.07516521618456591, 0.0027050144785487527], [0.08728482772229736, 0.0519014978322951]]",,
240.0,10.0,-3.1250010113018916,"[[[0.004164585134493066, -0.033373619588855964], [-0.017703699545996574, 0.011268441794944834]], [[0.0024259937490996985, -0.015109035358917606], [-0.005805472804035783, 0.008800533152863914]]]","[[0.5555555555555556, -0.5555555555555556], [0.10204081632653061, -0.10204081632653061]]","[[0.07516521618456591, 0.0027050144785487527], [0.08728482772229736, 0.0519014978322951]]",,
260.0,10.0,-3.124762728432149,"[[[0.004164585134493066, -0.033373619588855964], [-0.017703699545996574, 0.011268441794944834]], [[0.0024259937490996985, -0.015109035358917606], [-0.005805472804035783, 0.008800533152863914]]]","[[0.5555555555555556, -0.5555555555555556], [0.10204081632653061, -0.10204081632653061]]","[[0.07516521618456591, 0.0027050144785487527], [0.08728482772229736, 0.0519014978322951]]",,
280.0,10.0,-3.123643914637762,"[[[0.004164585134493066, -0.033373619588855964], [-0.017703699545996574, 0.011268441794944834]], [[0.0024259937490996985, -0.015109035358917606], [-0.005805472804035783, 0.008800533152863914]]]","[[0.5555555555555556, -0.5555555555555556], [0.10204081632653061, -0.10204081632653061]]","[[0.07516521618456591, 0.0027050144785487527], [0.08728482772229736, 0.0519014978322951]]",,
300.0,10.0,-3.1253163033849978,"[[[0.004164585134493066, -0.033373619588855964], [-0.017703699545996574, 0.011268441794944834]], [[0.0024259937490996985, -0.015109035358917606], [-0.005805472804035783, 0.008800533152863914]]]","[[0.5555555555555556, -0.5555555555555556], [0.10204081632653061, -0.10204081632653061]]","[[0.07516521618456591, 0.0027050144785487527], [0.08728482772229736, 0.0519014978322951]]",,
320.0,8.0,-3.12388672259244,"[[[-0.0021237812155764277, -0.024235085914021386], [-0.01141533319592708, 0.002129908120110253]], [[0.004776380003053273, -0.011902161111047598], [-0.008155859057989358, 0.005593658904993906]]]","[[0.4444444444444444, -0.4444444444444444], [0.08163265306122448, -0.08163265306122448]]","[[0.07516521618456591, 0.0027050144785487527], [0.08728482772229736, 0.0519014978322951]]",,
340.0,8.0,-3.126682122398786,"[[[-0.0021237812155764277, -0.024235085914021386], [-0.01141533319592708, 0.002129908120110253]], [[0.004776380003053273, -0.011902161111047598], [-0.008155859057989358, 0.005593658904993906]]]","[[0.4444444444444444, -0.4444444444444444], [0.08163265306122448, -0.08163265306122448]]","[[0.07516521618456591, 0.0027050144785487527], [0.08728482772229736, 0.0519014978322951]]",,
360.0,8.0,-3.1255073057627385,"[[[-0.0021237812155764277, -0.024235085914021386], [-0.01141533319592708, 0.002129908120110253]], [[0.004776380003053273, -0.011902161111047598], [-0.008155859057989358, 0.005593658904993906]]]","[[0.4444444444444444, -0.4444444444444444], [0.08163265306122448, -0.08163265306122448]]","[[0.07516521618456591, 0.0027050144785487527], [0.08728482772229736, 0.0519014978322951]]",,
380.0,8.0,-3.121276653276392,"[[[-0.0021237812155764277, -0.024235085914021386], [-0.01141533319592708, 0.002129908120110253]], [[0.004776380003053273, -0.011902161111047598], [-0.008155859057989358, 0.005593658904993906]]]","[[0.4444444444444444, -0.4444444444444444], [0.08163265306122448, -0.08163265306122448]]","[[0.07516521618456591, 0.0027050144785487527], [0.08728482772229736, 0.0519014978322951]]",,
